filename,title,newspaper,date_clean,date,word count
2009-04-05-60JahreBRDDieWirtschaftd.txt, 60 Jahre BRD: Die Wirtschaft der 70er; Grenzen des Wachstums, süddeutsche.de,2009-04-05, 5 April 2009,  546
2018-09-07-60x135ZentimeterProtest.txt, 60 x 135 Zentimeter Protest; Rudolf Forster ließ sich 1986 von seinem Schwiegervater in der Schreinerei ein Brett zuschneiden. Da ahnte er nicht dass er damit bundesweit zu einem Symbol für den Widerstand gegen die Wiederaufbereitungsanlage WAA würde, Süddeutsche Zeitung (inkl. Regionalausgaben),2018-09-07, 7 September 2018,  1058
2011-03-22-AbschaltenabschaltenMa.txt," Abschalten abschalten!""; Mahnwache in Fürstenfeldbruck für die Opfer des Erdbebens wird zur Demonstration gegen die Kernkraft", Süddeutsche Zeitung (inkl. Regionalausgaben),2011-03-22, 22 März 2011,  555
2012-09-17-AbschaltenlöstkeinProblem.txt, Abschalten löst kein Problem, Frankfurter Allgemeine Zeitung,2012-09-17, 17 September 2012,  110
2008-05-21-AktuellesLexikonWasserwerfe.txt, Aktuelles Lexikon; Wasserwerfer, Süddeutsche Zeitung,2008-05-21, 21 Mai 2008,  233
2008-06-23-AlledreiMinutenrollteinZu.txt, Alle drei Minuten rollt ein Zug, Frankfurter Allgemeine Zeitung,2008-06-23, 23 Juni 2008,  1632
1997-04-01-AlleingegenallesOstermarsch.txt, Allein gegen alles Ostermarsch '97: 'Mehr Leute mit Zivilcourageweniger Helden' Immer weniger marschieren mit doch Helmut Wimmerlaesst sich davon nicht beirren, Sueddeutsche Zeitung,1997-04-01, April 1 1997,  1253
2010-10-28-AllesamFlussDerWasserma.txt," Alles am Fluss; Der Wassermann"" Manfred Volk und seine Turbinenphilosophie", Süddeutsche Zeitung (inkl. Regionalausgaben),2010-10-28, 28 Oktober 2010,  533
2018-04-26-AlsderDackelKrähenfüßevert.txt, Als der Dackel Krähenfüße verteilte; Aus dem Protest gegen die atomare Wiederaufbereitungsanlage in Wackersdorf entstand eine breit angelegte Bürgerbewegung. Eine Begegnung mit zweien die damals an vorderster Front stritten, Süddeutsche Zeitung (inkl. Regionalausgaben),2018-04-26, 26 April 2018,  1135
2007-06-05-AmBodenVONREINHARDMÜLLER.txt, Am Boden; VON REINHARD MÜLLER, Frankfurter Allgemeine Zeitung,2007-06-05, 05 Juni 2007,  984
2010-01-08-AngstvorAidaVerdachtaufL.txt, Angst vor Aida; Verdacht auf Linksextremismus: Finanzministerium entzieht antifaschistischem Archiv Gemeinnützigkeit, Süddeutsche Zeitung (inkl. Regionalausgaben),2010-01-08, 8 Januar 2010,  530
2011-06-14-AnsteckendnatürlichAnitaSt.txt, Ansteckend natürlich; Anita Sturm ist zu Gast beim Ottobrunner Kulturstammtisch, Süddeutsche Zeitung (inkl. Regionalausgaben),2011-06-14, 14 Juni 2011,  556
2019-08-03-AnstreicherDrahtspinnerund.txt, Anstreicher Drahtspinner und Volkszähler; Seit jeher bessern Schüler mit Ferienjobs ihr Taschengeld auf und finanzieren so die nächste Reise oder den Führerschein. Eine Ministerin ein Bürgermeister ein Fußballtrainer und andere erzählen von ihren Jugenderfahrungen, Süddeutsche Zeitung (inkl. Regionalausgaben),2019-08-03, 3 August 2019,  1523
