"","atomkraftwerk","demonstration","jahrestag","kalkar","kernkraftwerk","mahnwach","waa","wackersdorf","waldspaziergang","wiederaufarbeitungsanlag","wyhl"
"1994-01-27-DerDGBaufderSuchenachneu.txt",0,0,0,0,0,0,0,1,0,1,0
"1994-03-03-DerMilliardenflop.txt",0,0,0,1,0,0,0,1,0,0,0
"1994-04-13-HierwirddieNaturveraendert.txt",0,0,0,1,1,0,0,1,0,0,0
"1994-04-21-EndlageraufderlangenBank.txt",0,0,0,0,0,0,0,2,0,1,0
"1994-04-29-TrotzmassiverProtestevonGu.txt",1,0,0,0,0,2,0,1,0,0,0
"1994-05-31-RadioDeutschlandfunk.txt",0,0,0,0,0,0,1,1,0,0,0
"1994-08-02-EngagementfuerTschernobylge.txt",0,0,0,0,0,0,3,1,0,1,0
"1994-08-10-BuerokratenblockierenEinsatz.txt",0,0,0,0,0,0,0,1,0,1,0
"1994-08-10-NocheinmaldavongekommenSie.txt",0,0,0,1,2,0,0,1,0,0,0
"1994-10-14-DerRueckzugindasKuckucksei.txt",0,0,0,0,0,0,1,1,0,0,0
"1994-11-23-GegenGorlebenDieWAAGegner.txt",0,1,0,0,0,0,2,2,0,1,0
"1994-11-23-VomtaeglichenWiderspruchAu.txt",0,1,0,0,0,0,0,1,0,0,0
"1994-12-01-WartenaufdasWirtschaftswund.txt",0,0,0,0,0,0,2,13,0,1,0
"1994-12-12-EinfeierlichesVersprechen.txt",0,0,0,1,0,0,0,1,0,0,0
"1994-12-19-AufdemehemaligenWAAGelaend.txt",0,0,0,0,0,0,3,18,0,1,0
"1994-12-21-AufdemGelaendederehemalige.txt",0,0,0,0,0,0,0,8,0,1,0
"1994-12-21-VollzugdesneuenPolizeiaufga.txt",0,1,0,0,0,0,0,1,0,1,0
"1995-02-02-UmweltministerverwundertDeba.txt",0,0,0,0,0,0,0,1,0,1,0
"1995-02-03-OttoWiesheuzurZukunftvonS.txt",0,0,0,0,0,0,5,7,0,0,0
"1995-02-10-RWEMilliardenSchaedendurch.txt",0,0,0,1,1,0,0,0,0,1,0
"1995-02-17-WegenWAAProtestenAchtJahr.txt",0,0,0,0,0,0,1,1,0,1,0
"1995-02-18-SchnellerBrueterfuereineDM.txt",1,0,0,2,0,0,0,0,0,0,0
"1995-02-24-DasStreiflicht.txt",0,0,0,1,0,0,0,1,0,0,0
"1995-02-24-WackersdorfMilliardeerstzur.txt",0,0,0,0,0,0,2,2,0,1,0
"1995-03-20-EinTestspielmitErleuchtung.txt",0,1,0,0,1,0,0,0,0,0,1
"1995-03-30-TrotzBVGUrteilkeineautomat.txt",0,0,0,0,0,0,0,1,0,0,0
"1995-04-08-BIRGITWEIDINGERGoldstaubimN.txt",0,0,1,0,0,0,0,1,0,0,0
"1995-04-26-TiefladermitNuklearabfallim.txt",2,0,0,0,1,0,1,1,0,0,0
"1995-05-06-BayernwillkeinZwischenlager.txt",0,0,0,0,1,0,0,1,0,1,0
"1995-05-06-THEMENDESTAGESSchwacheArgu.txt",0,0,0,0,0,0,2,2,0,0,0
"1995-05-24-SolarstromimSchattenderAto.txt",3,0,0,0,0,0,0,1,0,1,0
"1995-05-26-BMWunterschreibtKaufvertrag.txt",1,0,0,0,0,0,2,7,0,1,0
"1995-05-29-AtomaresZwischenlagerinWack.txt",0,0,0,0,0,0,1,3,0,1,0
"1995-07-01-MeinungswandelnachExpertenA.txt",0,0,0,0,0,0,0,1,0,1,0
"1995-07-06-BuergerentscheidimLandtagbe.txt",0,0,0,0,0,0,0,0,0,0,0
"1995-08-23-MuellhaldenundMoerderDieU.txt",0,0,0,0,1,0,0,0,0,0,1
"1995-09-16-ErsterSpatenstichbeiBMWin.txt",0,0,0,0,0,0,1,5,0,1,0
"1995-09-18-BMWbautGewerbeparkinWacker.txt",0,0,0,0,0,0,1,7,0,1,0
"1995-09-26-UEberdieKoepfederSlowaken.txt",1,0,0,0,2,0,0,1,0,0,1
"1995-10-16-ProtestaktiongegenDonauKana.txt",0,1,0,0,0,0,0,1,0,1,0
"1995-11-16-Wirtschaftsministerwillschne.txt",0,0,0,1,0,0,0,1,0,0,0
"1995-12-20-NordrheinWestfalenUmweltmin.txt",0,0,0,1,0,0,0,1,0,0,0
"1996-04-13-SpontanProtestimUmweltminis.txt",0,0,1,0,0,0,0,1,0,0,0
"1996-04-19-GegenForschungsreaktorKernkr.txt",0,1,1,0,0,0,0,1,0,0,0
"1996-04-25-Terminezum10TschernobylJa.txt",1,1,1,0,1,2,0,1,0,0,0
"1996-04-29-DemonstrationenzumTschernoby.txt",0,2,0,0,0,0,0,0,0,0,0
"1996-04-30-EigentlichgebuehrtihmderBa.txt",1,1,0,0,0,0,5,5,0,3,0
"1996-05-17-Energiekonsensaberwie.txt",0,0,0,1,4,0,0,1,0,0,0
"1996-05-17-SchnellerBruetersollzumFre.txt",0,0,0,3,1,0,0,0,0,0,0
"1996-05-21-Atomzwischenlager.txt",0,0,0,0,3,0,0,1,0,1,0
"1996-05-28-FreizeitparkKalkarKinderspie.txt",2,0,0,2,1,0,0,0,0,0,0
"1996-09-13-SowjetischeVerhaeltnisseeing.txt",6,0,0,1,0,0,0,0,0,0,0
"1996-11-27-SZInterviewmitdemlangeals.txt",0,0,0,0,1,0,0,0,0,0,1
"1996-12-24-HeiligerBimbamwohoertdenn.txt",0,2,0,0,0,0,0,2,0,0,0
"1997-02-19-KampfumGorlebenVONWOLFGA.txt",0,0,0,1,4,0,0,1,0,1,0
"1997-02-20-DerCastorBoykotttreibtden.txt",2,0,0,0,3,0,2,1,0,1,0
"1997-02-27-WyhlKalkarWackersdorfNiede.txt",2,1,0,1,5,0,4,3,0,1,2
"1997-03-05-ProtestegegenKernkraftmange.txt",0,0,0,0,0,0,1,3,0,1,0
"1997-04-01-AlleingegenallesOstermarsch.txt",0,0,0,0,0,0,0,2,0,1,0
"1997-04-10-StrahlenderMuellhinterKraft.txt",1,0,0,0,1,0,0,2,0,2,0
"1997-05-03-GigantischeSummen.txt",0,0,0,1,0,0,0,1,0,0,0
"1997-06-18-EinMusikersingtfuerGagea.txt",0,0,0,0,1,0,0,1,0,1,0
"1997-06-27-Qualitaetalleinmachtnochke.txt",1,0,0,1,0,0,0,0,0,0,0
"1997-08-07-SteinediekeinBaggerwegrae.txt",0,0,0,0,0,0,0,2,0,0,0
"1997-09-09-Zahlenspiegel.txt",0,0,0,0,0,0,1,1,0,1,0
"1997-09-17-Atomkraftwerkeueberfluessigm.txt",5,0,0,0,0,0,0,0,0,0,0
"1997-10-15-MarihuanaEiundAlkoholMi.txt",0,1,0,1,0,0,0,0,0,0,0
"1997-10-29-ParteitagimkleinenHorrorlad.txt",0,0,0,0,0,0,1,1,0,0,0
"1997-11-27-AtomstromistinWahrheitimme.txt",0,0,0,0,0,0,0,1,0,1,0
"1997-12-23-DieTagedesselbstverwalteten.txt",0,0,0,0,0,0,0,1,0,1,0
"1998-01-15-VONWOLFGANGROTH.txt",0,0,0,2,2,0,0,2,0,0,0
"1998-01-15-WerzumSpaziergangeinlaedt.txt",0,6,0,0,0,0,0,1,0,0,0
"1998-01-27-GrueneParlamentariermuessen.txt",0,0,0,0,0,0,1,1,0,1,0
"1998-03-21-WennBuergernichtmehrbravs.txt",0,2,0,0,0,0,0,1,0,0,0
"1998-04-09-InschlechterGesellschaftV.txt",1,0,0,2,0,0,0,0,0,0,0
"1998-04-29-ImKernwasserwunderland.txt",1,0,0,2,1,0,0,0,0,0,0
"1998-05-25-FamilienfreundlicheEkstase60.txt",0,2,0,0,0,0,0,2,0,0,0
"1998-05-27-JammertanzumdenAtommeiler.txt",0,0,0,0,2,0,0,1,0,1,0
"1998-06-05-DieStorfaellenehmenkeinEnd.txt",2,0,0,1,0,0,1,1,0,0,0
"1998-06-09-EineziemlichschlechteAusstr.txt",2,0,0,1,6,0,0,1,0,1,0
"1998-06-09-FehlinvestitionenundPreisabs.txt",0,0,0,1,1,0,0,1,0,0,0
"1998-07-16-DieProminenzfeiertdasWund.txt",0,0,0,0,0,0,6,10,0,1,0
"1998-07-16-VonderWAAzumIndustriepark.txt",0,0,0,0,0,0,8,5,0,1,0
"1998-07-17-AutoherstellereroffnetInnova.txt",0,0,0,0,0,0,2,5,0,1,0
"1998-07-30-AuferstandenausWAARuinen.txt",0,0,0,0,0,0,4,4,0,0,0
"1998-08-08-SiebenBierundAluminiumgeldfu.txt",0,1,0,0,0,0,0,0,0,0,0
"1998-09-16-RuthPauligziehtdasMandatde.txt",0,0,0,0,0,0,1,1,0,1,0
"1998-10-17-HansSchuiererfreutsich.txt",0,1,0,0,1,0,5,3,0,1,0
"1998-10-20-ImProfilWernerMuellerdesig.txt",0,0,0,0,0,0,0,1,0,1,0
"1998-11-07-StrahlenderAnfangSamstag.txt",0,0,0,1,0,0,0,1,0,0,0
"1998-11-10-EinHauchvonKreuthbeimBund.txt",0,0,0,0,0,0,1,0,0,0,0
"1998-11-18-KoalitionsvertraggehtAerzten.txt",0,0,0,0,0,0,1,1,0,1,0
"1998-11-20-HymnischerAbgesangaufeinzig.txt",0,0,0,0,0,0,2,1,0,1,0
"1998-12-23-ZastermanndrohtederBahnu.txt",0,0,0,0,0,0,0,1,0,1,0
"1998-12-28-AufderLichtungwachsenBuech.txt",0,0,0,0,0,0,1,1,0,0,0
"1998-12-31-ExotischesausdemLandderBay.txt",0,0,0,0,0,0,0,1,0,0,0
"1999-01-08-TurbinchenfuerdieAndenundd.txt",1,0,0,0,1,0,0,0,0,0,1
"1999-01-15-RadioaktiverMuellalsWirtsch.txt",2,0,0,0,1,0,6,1,0,2,0
"1999-01-15-RadioaktiverMuellalsWirtscha.txt",2,0,0,0,1,0,6,1,0,2,0
"1999-06-05-DasWundervonWackersdorfVor.txt",1,1,0,0,0,0,8,10,0,4,0
"2001-01-05-JoschkaichwarauchmalRevo.txt",0,0,0,0,0,0,2,3,0,0,0
"2001-03-28-ReliktausfroehlicherAtomzei.txt",0,0,0,0,3,0,2,1,0,0,0
"2001-03-29-ProtestekoennenauchfuerDem.txt",0,2,0,0,0,0,0,1,0,0,0
"2001-04-09-Strassemusssein.txt",0,9,0,0,0,0,0,1,0,0,0
"2001-05-12-UnterBayern.txt",0,0,0,0,0,0,1,2,0,1,0
"2001-06-13-DerKKomplex.txt",0,1,0,0,0,0,0,1,0,0,0
"2001-07-18-IhrG8wir6000000000.txt",0,1,0,0,0,0,0,1,0,0,0
"2001-08-01-OstbayernAutobahnnach70Jah.txt",0,0,0,0,0,0,1,1,0,1,0
"2001-08-29-DerVWKaeferDaswardieBRD.txt",0,0,0,0,0,0,0,1,0,0,0
"2001-09-08-VomJungAnarchistenzumFreid.txt",0,2,0,0,0,0,4,3,1,1,0
"2001-10-02-DonauausbaufuerGrueneeinne.txt",0,0,0,0,0,0,0,2,0,1,0
"2001-10-24-DonauAusbauentzweitGrueneu.txt",0,0,0,0,0,0,1,1,0,1,0
"2001-10-24-DonauAusbauentzweitGrüneund.txt",0,0,0,0,0,0,1,1,0,0,0
"2001-11-10-KontrolleureohneKontrolle.txt",1,0,0,0,2,0,0,1,0,2,0
"2001-12-20-KettenReaktionKarlsruheBl.txt",0,0,0,0,0,0,0,3,0,1,0
"2002-02-02-JenseitsderGemütlichkeitDe.txt",0,0,0,0,0,0,2,1,0,1,0
"2002-04-19-BayernsMisterUmweltgehtNa.txt",0,0,0,0,0,0,0,1,0,1,0
"2002-04-23-ImabsolutenThemenparkverbot.txt",1,0,0,1,0,0,0,0,0,0,0
"2003-03-13-NimmermüderVolksheldDerein.txt",0,0,0,0,0,0,2,1,0,2,0
"2003-03-28-KommzuunsÜberdieÄsthetik.txt",0,2,0,0,0,0,0,1,0,0,0
"2003-11-12-DerlangeAbschiedderaltenK.txt",9,0,0,1,3,0,0,0,0,0,0
"2003-12-01-MidlifeBluesWerfrüherjung.txt",1,0,0,1,0,0,0,0,0,0,0
"2003-12-09-GrünebeugensichdemDruckde.txt",1,0,0,1,0,0,0,0,0,1,0
"2004-02-28-WiderstanddurchalleInstanze.txt",2,0,0,0,1,0,0,0,0,0,0
"2004-06-16-PlutoniumaufReisenSeitJah.txt",1,0,0,2,0,0,0,0,0,1,0
"2004-07-02-AtomGegnerfeierninWackersd.txt",0,0,0,0,0,0,1,3,0,0,0
"2004-07-03-BefreitvomWirGefühlTheate.txt",1,0,0,0,1,0,0,0,0,0,2
"2004-07-10-LobbyistendesVorgartensSie.txt",0,2,0,0,0,0,0,1,0,0,0
"2004-07-30-BadeParadiesfüreinenEuro.txt",0,0,0,0,0,0,1,5,0,1,0
"2004-10-01-EindickfelligerOberpfälzerD.txt",0,0,0,0,0,0,0,1,0,1,0
"2005-03-09-EinMannfüralleStörfälle.txt",1,0,0,0,0,0,2,1,0,1,0
"2005-07-30-dieBonzenwollenzuvie.txt",1,0,0,0,0,0,1,1,0,0,1
"2005-11-30-HeinzRiesenhuber70Jahre.txt",0,0,0,1,0,0,0,0,0,0,0
"2006-01-02-HanauerAtomfabrikgeschlossen.txt",0,1,0,1,0,0,0,0,0,2,0
"2006-01-12-MissionerfülltVONSTEFANDI.txt",0,0,0,0,1,0,0,1,0,1,1
"2006-04-25-EsbegannmiteinemHüttendorf.txt",2,1,0,1,1,0,0,1,0,2,3
"2006-04-26-RatloseBürgerimradioaktiven.txt",1,0,0,0,0,0,0,1,0,1,0
"2006-04-26-Tschernobylwoliegtdasei.txt",0,0,0,0,0,0,1,3,0,0,0
"2006-06-27-KeinPlanabereineMengeSac.txt",0,0,0,1,8,0,0,0,0,0,0
"2006-07-28-NoHeadlineInOriginal-1.txt",0,0,0,1,0,0,0,0,0,0,0
"2006-09-09-GlaubeHeimatFamilieVonM.txt",0,1,0,0,0,0,0,1,0,0,0
"2006-10-17-AnwaltkritisiertLuftverkehrs.txt",0,0,0,0,0,0,0,1,0,1,0
"2006-10-20-AufrufzumKampfgegendiedri.txt",0,0,0,0,0,0,0,1,0,1,0
"2006-11-27-WAAwiederaufbereitet.txt",0,1,0,0,0,0,3,3,0,0,0
"2006-12-18-MitdenÜberfliegerninsStimm.txt",1,0,0,0,1,0,0,0,0,0,1
"2007-04-03-EinKonservativerdendieVer.txt",0,0,0,0,2,0,0,0,0,0,1
"2007-04-07-EinAlphaMännchenzuvielJü.txt",0,0,0,0,1,0,0,1,0,1,0
"2007-04-24-KeinEndeinSicht.txt",0,1,0,0,8,0,0,1,0,0,1
"2007-05-14-ErdingersetzenZeichenTause.txt",0,1,0,0,0,0,0,1,0,0,0
"2007-05-14-RednermachenMenschenMutAg.txt",0,1,0,0,0,0,0,2,0,0,0
"2007-05-25-BlickindiePresse.txt",0,1,1,0,0,0,0,2,0,0,0
"2007-06-05-AmBodenVONREINHARDMÜLLER.txt",0,2,0,0,0,0,0,1,0,0,0
"2007-08-14-HalbwertzeitenimSeegrasTh.txt",0,1,0,0,0,0,2,2,0,0,0
"2007-11-10-WernerMüllerPolitmanageroh.txt",0,0,0,0,0,0,0,1,0,1,0
"2007-12-07-Einbisschenschwangergibte.txt",0,0,0,0,0,0,0,2,0,1,0
"2008-03-28-EndeschlechtallesgutWaru.txt",0,0,0,0,0,0,0,1,0,1,0
"2008-04-11-GeldkannAidsbekommenGer.txt",1,0,0,0,0,0,1,1,0,0,0
"2008-04-18-InterviewVorbereitetaufFra.txt",0,1,0,0,0,1,0,1,0,0,0
"2008-04-25-BarometerdesWiderstandsGrü.txt",0,0,0,0,0,0,0,2,0,1,0
"2008-04-25-DieGrünenblüheninderStarn.txt",0,0,0,0,0,0,0,1,0,1,0
"2008-05-05-IhrkönntEuchdieTonartaus.txt",0,0,0,0,0,0,1,1,0,0,0
"2008-05-21-AktuellesLexikonWasserwerfe.txt",0,1,0,0,0,0,0,1,0,1,0
"2008-06-23-AlledreiMinutenrollteinZu.txt",1,0,0,0,0,0,0,0,0,0,1
"2008-07-17-Landtagsdebatteüberdasneue.txt",0,1,0,0,0,2,1,1,0,0,0
"2008-07-28-WennesumIdeologiegehtspi.txt",0,0,0,1,3,0,0,0,0,0,0
"2008-08-06-VomAgrarlandzumHightechSta.txt",0,0,0,0,1,0,0,3,0,1,0
"2008-09-13-IAEALibyenhattedeutschePl.txt",0,0,0,0,0,0,0,1,0,1,0
"2008-09-13-LibyenhattedeutschePlänezu.txt",0,0,0,0,0,0,0,1,0,1,0
"2008-09-15-Oppositionsarbeitistimmere.txt",0,0,0,0,0,0,2,2,0,0,0
"2008-09-26-WirbrauchensiebenMilliarde.txt",0,1,0,0,0,0,0,1,0,0,0
"2008-09-27-StandortinGefahrOsramwill.txt",0,0,0,0,0,0,0,3,0,1,0
"2008-11-06-EinJuniorvomFernsehenDie.txt",0,0,0,0,0,0,0,0,0,0,0
"2008-11-10-KatzundMausimWendland.txt",0,4,0,1,2,0,0,1,0,0,0
"2008-11-12-IndustrieKleineSorgenfalten.txt",0,0,0,0,0,0,0,8,0,0,0
"2008-11-28-ZwischenlagerfürAtommüllrec.txt",2,0,0,1,3,0,0,0,0,0,0
"2008-12-08-HeileRisikoweltZwischenlage.txt",1,0,0,0,1,0,0,0,0,0,0
"2008-12-10-MitteninBayernRebellenaus.txt",0,0,2,0,0,0,0,1,0,0,0
"2008-12-29-EsflutschtauchinderFlaute.txt",0,0,0,0,0,0,0,1,0,1,0
"2009-04-05-60JahreBRDDieWirtschaftd.txt",0,1,0,0,5,0,0,0,0,0,1
"2009-04-25-NoHeadlineInOriginal-14.txt",0,0,0,0,0,0,0,2,0,1,0
"2009-05-23-EinigkeitundRechtundWohlst.txt",1,1,0,0,0,0,0,0,0,0,2
"2009-06-04-PappkartonsstattBrennstäbe.txt",0,0,0,0,0,0,5,5,0,0,0
"2009-06-04-Vor20Jahrenkamdaspolitisc.txt",0,0,0,0,1,0,3,12,0,1,0
"2009-06-20-DieEntdeckungderUmweltAuf.txt",0,0,0,0,2,0,0,1,0,1,3
"2009-06-25-NaziGegnerabgestempeltals.txt",0,0,1,0,0,0,0,1,0,0,0
"2009-07-02-ArnulfBaringKernenergieGe.txt",1,1,0,1,6,0,0,0,0,0,5
"2009-07-10-SiegderBeharrlichkeit.txt",0,0,0,0,0,0,0,1,0,1,0
"2009-07-16-JürgenTrittinDieRealitäten.txt",17,0,0,0,5,0,0,1,0,2,0
"2009-10-24-KeineChancegegenCaptainAto.txt",0,3,0,0,0,0,0,1,0,0,1
"2009-12-18-ClemensburginSchwabingAuf.txt",0,0,0,0,0,0,0,1,0,1,0
"2009-12-19-EinfachandersSieerlebtedi.txt",0,0,0,0,0,0,0,1,0,1,0
"2010-01-08-AngstvorAidaVerdachtaufL.txt",0,0,0,0,0,0,0,1,0,0,0
"2010-01-21-MitteninRegensburgDeckeld.txt",0,0,0,0,0,0,1,1,0,0,0
"2010-02-16-KühlkalkuliertVonStefanDi.txt",0,0,0,1,5,0,0,1,0,1,0
"2010-02-17-MitTangoundSwinggegenden.txt",0,1,0,0,0,1,0,1,0,0,0
"2010-04-10-GegnersetzenaufdieFaktoren.txt",0,1,0,0,0,0,0,1,0,0,0
"2010-04-15-IdyllmitAKW.txt",2,0,0,1,4,0,0,0,0,0,0
"2010-06-09-TrügerischeRuheinGorleben.txt",1,2,0,1,1,0,0,1,0,0,0
